danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,mood
0.544,0.000115,0.97,3.34E-05,0.238,0.349,-3.78,0.0532,103.909,Energetic
0.664,0.511,0.352,0.806,0.109,0.45,-9.426,0.0278,87.054,Sad
0.0789,0.733,0.16,0.786,0.0943,0.0409,-18.144,0.0362,56.449,Calm
0.242,0.0148,0.992,0.113,0.833,0.374,-3.9,0.0988,159.37,Energetic
0.547,0.00129,0.895,0.107,0.288,0.0353,-7.081,0.0683,128.022,Energetic
0.87,0.149,0.657,0.0102,0.053,0.893,-7.32,0.0522,110.596,Happy
0.403,0.387,0.495,8.03E-06,0.147,0.38,-6.888,0.0312,132.912,Happy
0.484,0.406,0.457,0.646,0.297,0.187,-13.976,0.0456,87.159,Sad
0.284,0.848,0.262,0.00483,0.0966,0.107,-9.869,0.028,98.66,Sad
0.566,0.995,0.00792,0.909,0.0874,0.0621,-34.484,0.0445,61.167,Calm
0.365,0.994,0.00656,0.888,0.119,0.0809,-21.678,0.0427,68.17,Calm
0.353,0.969,0.0544,0.915,0.106,0.158,-22.657,0.0408,74.883,Calm
0.373,0.978,0.191,0.944,0.0737,0.411,-24.099,0.0302,96.682,Calm
0.694,0.0153,0.881,0.0196,0.0851,0.924,-4.053,0.0701,121.554,Happy
0.845,0.0447,0.744,0.343,0.13,0.694,-9.539,0.0567,126,Energetic
0.382,0.127,0.907,5.65E-06,0.0915,0.346,-6.383,0.295,183.35,Energetic
0.59,0.000753,0.888,0.00535,0.817,0.0715,-4.151,0.0797,128.025,Energetic
0.508,0.00022,0.947,0.0315,0.0784,0.419,-3.684,0.0531,163.731,Energetic
0.635,0.0973,0.808,0,0.141,0.726,-5.026,0.0262,131.377,Happy
0.584,0.55,0.367,1.38E-05,0.0818,0.588,-9.638,0.0328,120.175,Happy
0.276,0.314,0.251,6.05E-06,0.122,0.18,-9.078,0.0295,95.705,Sad
0.578,0.000121,0.882,0.479,0.284,0.623,-6.354,0.044,125.603,Energetic
0.572,0.00292,0.934,0.0198,0.105,0.204,-5.053,0.0446,125.948,Happy
0.539,0.617,0.432,0.692,0.11,0.133,-9.298,0.0249,105.196,Sad
0.535,0.000919,0.854,0.00149,0.0676,0.618,-6.519,0.0368,106.929,Energetic
0.557,0.0339,0.54,0.00248,0.179,0.394,-10.484,0.0347,129.171,Happy
0.574,0.061,0.913,0.00158,0.156,0.423,-4.793,0.133,115.728,Happy
